year,driverId,constructorId,number,grid,position,PositionText,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusid
2021,max_verstappen,red_bull,33,2,1,1,3,17,25:38.426,1538426,14,1:30.013,Finished
2021,hamilton,mercedes,44,1,2,2,2,17,+1.430,1539856,17,1:29.937,Finished
2021,bottas,mercedes,77,3,3,3,1,17,+7.502,1545928,17,1:29.958,Finished
2021,leclerc,ferrari,16,4,4,4,0,17,+11.278,1549704,16,1:30.163,Finished
2021,norris,mclaren,4,6,5,5,0,17,+24.111,1562537,16,1:30.566,Finished
2021,ricciardo,mclaren,3,7,6,6,0,17,+30.959,1569385,17,1:30.640,Finished
2021,alonso,alpine,14,11,7,7,0,17,+43.527,1581953,17,1:31.773,Finished
2021,vettel,aston_martin,5,10,8,8,0,17,+44.439,1582865,17,1:31.687,Finished
2021,russell,williams,63,8,9,9,0,17,+46.652,1585078,17,1:32.208,Finished
2021,ocon,alpine,31,13,10,10,0,17,+47.395,1585821,16,1:32.183,Finished
2021,sainz,ferrari,55,9,11,11,0,17,+47.798,1586224,10,1:31.991,Finished
2021,gasly,alphatauri,10,12,12,12,0,17,+48.763,1587189,17,1:32.072,Finished
2021,raikkonen,alfa,7,17,13,13,0,17,+50.677,1589103,12,1:32.139,Finished
2021,stroll,aston_martin,18,15,14,14,0,17,+52.179,1590605,12,1:32.210,Finished
2021,giovinazzi,alfa,99,14,15,15,0,17,+53.225,1591651,14,1:32.457,Finished
2021,tsunoda,alphatauri,22,16,16,16,0,17,+53.567,1591993,14,1:32.270,Finished
2021,latifi,williams,6,18,17,17,0,17,+55.162,1593588,17,1:32.143,Finished
2021,mick_schumacher,haas,47,19,18,18,0,17,+1:08.213,1606639,15,1:32.567,Finished
2021,mazepin,haas,9,20,19,19,0,17,+1:17.648,1616074,3,1:33.462,Finished
2021,perez,red_bull,11,5,20,R,0,16,,,6,1:31.465,Vibrations
2022,max_verstappen,red_bull,1,1,1,1,8,21,30:39.567,1839567,14,1:19.154,Finished
2022,leclerc,ferrari,16,2,2,2,7,21,+2.975,1842542,11,1:19.044,Finished
2022,perez,red_bull,11,7,3,3,6,21,+4.721,1844288,14,1:19.012,Finished
2022,sainz,ferrari,55,10,4,4,5,21,+17.578,1857145,14,1:19.251,Finished
2022,norris,mclaren,4,3,5,5,4,21,+24.561,1864128,9,1:20.030,Finished
2022,ricciardo,mclaren,3,6,6,6,3,21,+27.740,1867307,12,1:20.328,Finished
2022,bottas,alfa,77,8,7,7,2,21,+28.133,1867700,9,1:20.219,Finished
2022,kevin_magnussen,haas,20,4,8,8,1,21,+30.712,1870279,6,1:20.557,Finished
2022,alonso,alpine,14,5,9,9,0,21,+32.278,1871845,10,1:20.639,Finished
2022,mick_schumacher,haas,47,12,10,10,0,21,+33.773,1873340,15,1:20.567,Finished
2022,russell,mercedes,63,11,11,11,0,21,+36.284,1875851,19,1:20.756,Finished
2022,tsunoda,alphatauri,22,16,12,12,0,21,+38.298,1877865,20,1:20.909,Finished
2022,vettel,aston_martin,5,9,13,13,0,21,+40.177,1879744,8,1:21.044,Finished
2022,hamilton,mercedes,44,13,14,14,0,21,+41.459,1881026,9,1:20.663,Finished
2022,stroll,aston_martin,18,15,15,15,0,21,+42.910,1882477,14,1:20.948,Finished
2022,ocon,alpine,31,19,16,16,0,21,+43.517,1883084,14,1:20.995,Finished
2022,gasly,alphatauri,10,17,17,17,0,21,+43.794,1883361,18,1:20.599,Finished
2022,albon,williams,23,20,18,18,0,21,+48.871,1888438,14,1:21.020,Finished
2022,latifi,williams,6,18,19,19,0,21,+52.017,1891584,16,1:21.437,Finished
2022,zhou,alfa,24,0,20,R,0,0,,,,,Retired
